iter	Passed	Remaining
0	2	236
1	5	252
2	7	242
3	9	219
4	11	211
5	13	213
6	15	208
7	16	195
8	19	194
9	21	195
10	24	195
11	26	195
12	28	193
13	30	189
14	32	184
15	35	184
16	37	184
17	39	181
18	42	180
19	44	177
20	45	172
21	48	170
22	50	168
23	52	167
24	54	164
25	57	162
26	59	160
27	61	157
28	63	154
29	65	152
30	67	150
31	70	149
32	72	146
33	73	143
34	75	139
35	76	136
36	79	134
37	81	133
38	84	131
39	86	129
40	88	127
41	89	124
42	91	121
43	94	119
44	96	117
45	98	116
46	101	114
47	103	112
48	105	110
49	107	107
50	110	106
51	112	103
52	114	101
53	116	99
54	118	96
55	120	94
56	122	92
57	124	89
58	126	87
59	129	86
60	131	84
61	133	82
62	135	79
63	137	77
64	139	75
65	141	72
66	143	70
67	145	68
68	147	66
69	150	64
70	152	62
71	155	60
72	157	58
73	159	56
74	161	53
75	163	51
76	166	49
77	168	47
78	171	45
79	172	43
80	174	41
81	176	38
82	179	36
83	181	34
84	183	32
85	186	30
86	188	28
87	190	25
88	192	23
89	194	21
90	197	19
91	199	17
92	202	15
93	204	13
94	206	10
95	208	8
96	211	6
97	213	4
98	215	2
99	217	0
